Start time	End time	Start DateTime	End DateTime	Scattering conc (#/cm3-STP)	Incandescent Conc (#/cm3-STP)	Scattering mass conc (ng/m3-STP)	Total scattering mass conc (ng/m3-STP)	Incandescent mass conc (ng/m3-STP)	Total incandescent mass conc (ng/m3-STP)
43940	43950	3624696740	3624696750	2.9550798	3.3827887	50.75412	54.645718	4.1419396	4.1419396
43950	43960	3624696750	3624696760	132.77739	134.29596	2455.376	3054.3955	276.69315	276.69315
43960	43970	3624696760	3624696770	123.8543	121.36242	2252.0059	2928.3669	226.26585	233.91653
43970	43980	3624696770	3624696780	108.35473	102.86694	2021.9545	2479.4907	160.94653	160.94653
43980	43990	3624696780	3624696790	110.39895	107.20912	2024.8708	2422.0007	179.18193	179.18193
43990	44000	3624696790	3624696800	103.51705	93.667557	1842.8071	2151.8074	146.45757	146.45757
44000	44010	3624696800	3624696810	92.607162	84.818504	1646.8832	1877.0513	137.88089	153.18445
44010	44020	3624696810	3624696820	88.216179	82.376625	1586.0598	1895.3876	119.56219	119.56219
44020	44030	3624696820	3624696830	89.518425	82.860031	1569.6711	1829.7939	115.72777	123.3786
44030	44040	3624696830	3624696840	92.777069	76.976944	1638.0798	1894.3152	108.2228	108.2228
44040	44050	3624696840	3624696850	83.066895	74.316872	1447.3668	1687.5912	110.35096	117.99215
44050	44060	3624696850	3624696860	84.679008	70.767174	1534.6031	1692.8202	95.047714	95.047714
44060	44070	3624696860	3624696870	88.401611	69.49176	1584.9398	1705.4447	116.61976	116.61976
44070	44080	3624696870	3624696880	86.810852	74.170387	1529.7216	1647.552	115.78374	115.78374
44080	44090	3624696880	3624696890	78.4142	62.598915	1367.4786	1610.2107	98.962952	98.962952
44090	44100	3624696890	3624696900	80.138107	63.160355	1415.1102	1500.5554	109.83889	109.83889
44100	44110	3624696900	3624696910	90.00869	66.151901	1653.2371	1850.6799	98.223068	98.223068
44110	44120	3624696910	3624696920	89.770134	64.177086	1657.1522	1823.2704	105.13662	105.13662
44120	44130	3624696920	3624696930	85.795784	62.227226	1511.5551	1716.7612	94.038254	94.038254
44130	44140	3624696930	3624696940	87.365173	66.565796	1601.0487	1822.7621	122.67467	122.67467
44140	44150	3624696940	3624696950	105.4148	63.87241	1866.4846	2151.2468	101.74607	101.74607
44150	44160	3624696950	3624696960	115.64775	68.089851	2085.3047	2400.1865	112.21245	112.21245
44160	44170	3624696960	3624696970	116.36634	69.975739	2092.2715	2345.2883	121.9754	121.9754
44170	44180	3624696970	3624696980	114.37863	69.406586	2078.5679	2443.27	127.6897	127.6897
44180	44190	3624696980	3624696990	112.95428	68.013809	2042.9825	2300.1313	114.62811	122.21049
44190	44200	3624696990	3624697000	107.25588	62.640549	1901.0911	2104.1653	124.46405	124.46405
