SpecSizeQuad	IncandNumByLogDp	IncandMassByLogDp
0.0099999998	0	0
0.015	0	0
0.02	0	0
0.025	0	0
0.029999999	0	0
0.035	13596.599	0.64407486
0.039999999	118124.95	7.3628912
0.045000002	181328.22	15.617128
0.050000001	194912.38	22.994726
0.055	212865.41	33.424973
0.059999999	239532.73	48.91898
0.064999998	258827.55	67.104286
0.07	290904.44	94.296761
0.075000003	325062.44	129.41115
0.079999998	344428.03	166.27295
0.085000001	362642.16	209.9547
0.090000004	378102.69	259.82437
0.094999999	396406.5	320.35922
0.1	402040.06	378.89102
0.105	395511.47	431.85526
0.11	387913.97	486.76608
0.115	379501	543.82867
0.12	373682.94	608.42639
0.125	349601.25	642.88739
0.13	338267.22	699.9859
0.13500001	317340.84	735.50153
0.14	300409.66	776.15948
0.145	277555.47	797.19623
0.15000001	253284.19	804.96686
0.155	242528.91	850.86169
0.16	224345.19	865.76007
0.16500001	214338.36	906.95074
0.17	188973.53	874.97614
0.175	172048.62	869.32635
0.18000001	162377.22	892.06982
0.185	146953.69	876.24677
0.19	139376.77	899.44281
0.19499999	126701.76	884.66205
0.2	113465.59	854.73584
0.205	107334.39	871.55463
0.20999999	93899.398	819.34863
0.215	87720.016	821.36078
0.22	78210.922	785.5097
0.22499999	74082.477	794.95532
0.23	69056.477	791.79559
0.235	54974.5	672.66956
0.23999999	55038.895	717.85413
0.245	45806.082	634.38013
0.25	44093.078	649.49323
0.255	41217.293	643.34039
0.25999999	36757.371	608.88116
0.26499999	33436.984	586.48114
0.27000001	4724.7739	85.679733
0.27500001	23554.82	462.58643
0.28	27464.531	568.40924
0.285	24411.404	531.99615
0.28999999	22702.947	521.55969
0.29499999	19562.197	473.41479
0.30000001	18926.83	481.97363
0.30500001	16714.107	446.26883
0.31	15132.275	426.11938
0.315	13055.396	383.74393
0.31999999	14294.17	442.57352
0.32499999	12122.811	392.224
0.33000001	9270.0391	314.09296
0.33500001	11107.476	392.88431
0.34	11116.691	412.74207
0.345	10644.675	411.72433
0.34999999	7575.3833	305.68729
0.35499999	6866.1606	288.33112
0.36000001	5470.8594	239.91907
0.36500001	3697.8975	169.82213
0.37	6474.7769	308.85541
0.375	6389.5854	317.34384
0.38	4724.8408	244.79933
0.38499999	5496.1982	295.93457
0.38999999	3412.3672	190.98033
0.39500001	4001.8435	232.20181
0.40000001	2578.8643	156.02841
0.405	4289.6655	268.60123
0.41	2265.7178	147.32925
0.41499999	2102.2366	140.90327
0.41999999	1934.139	134.34062
0.42500001	2544.3296	183.89519
0.43000001	2772.2839	206.79831
0.435	2403.8748	186.67622
0.44	2836.7571	227.64452
0.44499999	2049.281	170.4875
0.44999999	2072.2949	177.3665
0.45500001	1257.2	111.31007
0.46000001	1271.0156	116.1086
0.465	428.27713	40.671738
0.47	1515.0883	148.63649
0.47499999	1312.4625	132.74977
0.47999999	663.13519	69.286896
0.48500001	670.047	71.129776
0.49000001	1128.2581	125.65089
0.495	455.90842	52.177059
0.5	690.77039	81.683914
0.505	465.11884	56.535645
0.50999999	234.86201	29.440525
0.51499999	1422.9877	182.62437
0.51999998	1915.7378	253.42842
0.52499998	0	0
0.52999997	732.20862	102.32205
0.53500003	1231.8754	177.35957
0.54000002	1243.3883	184.81503
0.54500002	1505.8815	228.79245
0.55000001	253.28287	39.887112
0.55500001	255.58545	41.096565
0.56	515.77612	85.676796
0.565	0	0
0.56999999	262.49326	46.189705
0.57499999	794.38763	142.588
0.57999998	267.09845	48.664387
0.58499998	1077.6042	202.30524
0.58999997	815.10126	157.60201
0.59500003	14796.34	2907.2444
0.60000002	0	0
0.60500002	0	0
0.61000001	0	0
0.61500001	0	0
0.62	0	0
0.625	0	0
0.63	0	0
0.63499999	0	0
0.63999999	0	0
0.64499998	0	0
0.64999998	0	0
0.65499997	0	0
0.66000003	0	0
0.66500002	0	0
0.67000002	0	0
0.67500001	0	0
0.68000001	0	0
0.685	0	0
0.69	0	0
0.69499999	0	0
0.69999999	0	0
0.70499998	0	0
0.70999998	0	0
0.71499997	0	0
0.72000003	0	0
0.72500002	0	0
0.73000002	0	0
0.73500001	0	0
0.74000001	0	0
0.745	0	0
0.75	0	0
0.755	0	0
0.75999999	0	0
0.76499999	0	0
0.76999998	0	0
0.77499998	0	0
0.77999997	0	0
0.78500003	0	0
0.79000002	0	0
0.79500002	0	0
0.80000001	0	0
0.80500001	0	0
0.81	0	0
0.815	0	0
0.81999999	0	0
0.82499999	0	0
0.82999998	0	0
0.83499998	0	0
0.83999997	0	0
0.84500003	0	0
0.85000002	0	0
0.85500002	0	0
0.86000001	0	0
0.86500001	0	0
0.87	0	0
0.875	0	0
0.88	0	0
0.88499999	0	0
0.88999999	0	0
0.89499998	0	0
0.89999998	0	0
0.90499997	0	0
0.91000003	0	0
0.91500002	0	0
0.92000002	0	0
0.92500001	0	0
0.93000001	0	0
0.935	0	0
0.94	0	0
0.94499999	0	0
0.94999999	0	0
0.95499998	0	0
0.95999998	0	0
0.96499997	0	0
0.97000003	0	0
0.97500002	0	0
0.98000002	0	0
0.98500001	0	0
0.99000001	0	0
0.995	0	0
1	0	0
